,0
sample_A_N,260
sample_A_median_color,-2.0600957298904277
sample_A_median_logS,-8.126273156323602
ID51514_z_phot,4.43674
ID51514_Av,1.9
ID51514_Lbol,45.390968712621714
ID51514_MUV,
ID51514_reff_pc,100.43890060929056
ID51514_field,primer-cosmos-east
ID51514_logSigma,-7.678317892693772
ID51514_color,-2.1402891151975254
ID51514_flux_ratio,7.179854545302353
ID51514_Sigma_rank,51
ID51514_Sigma_pct,19.615384615384617
ID51514_ra,150.13169869017457
ID51514_dec,2.435682049752244
ID16152_z_phot,5.7143655
ID16152_Av,0.0
ID16152_Lbol,44.632015296764145
ID16152_MUV,
ID16152_reff_pc,165.23186775265145
ID16152_field,primer-cosmos-west
ID16152_logSigma,-8.283015578819818
ID16152_color,-1.2359172941139462
ID16152_flux_ratio,3.1215257197690804
ID16152_Sigma_rank,163
ID16152_Sigma_pct,62.69230769230769
ID16152_ra,150.12492421255888
ID16152_dec,2.21457222007294
angular_sep_deg,0.22121341458079485
angular_sep_arcmin,13.272804874847692
Gt_prediction,16152 (higher z) should be redder (more negative color)
Gt_observed_match,False
GS_prediction,51514 (higher Σ) should be redder (more negative color)
GS_observed_match,True
